Date,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-01-01 05:00:00,1,257.02,0,0.21,33.62,0.02,0.5,0.51,0.15
2022-01-01 06:00:00,1,257.02,0,0.21,34.69,0.01,0.5,0.51,0.15
2022-01-01 07:00:00,1,260.35,0,0.18,37.91,0.01,0.5,0.5,0.13
2022-01-01 08:00:00,1,260.35,0,0.12,41.84,0.01,0.5,0.5,0.12
2022-01-01 09:00:00,1,260.35,0,0.09,43.99,0.01,0.5,0.5,0.1
2022-01-01 10:00:00,1,260.35,0,0.11,45.42,0.01,0.5,0.5,0.11
2022-01-01 11:00:00,1,257.02,0,0.15,46.49,0.01,0.5,0.5,0.14
2022-01-01 12:00:00,1,257.02,0,0.21,47.92,0.02,0.5,0.5,0.17
2022-01-01 13:00:00,1,263.69,0,0.28,52.21,0.04,0.5,0.5,0.22
2022-01-01 14:00:00,1,270.37,0,0.35,56.51,0.05,0.5,0.5,0.29
2022-01-01 15:00:00,1,270.37,0,0.49,55.07,0.05,0.5,0.5,0.42
2022-01-01 16:00:00,1,270.37,0,0.67,52.21,0.05,0.5,0.5,0.62
2022-01-01 17:00:00,1,277.04,0,0.88,50.07,0.04,0.5,0.5,0.77
2022-01-01 18:00:00,1,280.38,0,0.99,50.78,0.04,0.5,0.5,0.82
2022-01-01 19:00:00,1,283.72,0.01,1.03,52.93,0.03,0.5,0.5,0.81
2022-01-01 20:00:00,1,283.72,0.02,1.04,55.79,0.03,0.5,0.5,0.74
2022-01-01 21:00:00,1,280.38,0.02,1.01,58.65,0.02,0.5,0.5,0.62
2022-01-01 22:00:00,1,277.04,0.01,0.95,60.08,0.03,0.5,0.5,0.51
2022-01-01 23:00:00,1,270.37,0,0.9,60.8,0.05,0.5,0.5,0.45
2022-01-02 00:00:00,1,267.03,0,0.87,60.8,0.07,0.5,0.5,0.4
2022-01-02 01:00:00,1,267.03,0,0.86,60.08,0.09,0.5,0.5,0.37
2022-01-02 02:00:00,1,270.37,0,0.85,60.08,0.1,0.5,0.5,0.34
2022-01-02 03:00:00,1,277.04,0,0.76,58.65,0.06,0.5,0.5,0.34
2022-01-02 04:00:00,1,277.04,0,0.64,55.79,0.06,0.5,0.5,0.34
2022-01-02 05:00:00,1,267.03,0,0.41,60.08,0.11,0.5,0.5,0.22
2022-01-02 06:00:00,1,263.69,0,0.27,68.66,0.23,0.5,0.5,0.11
2022-01-02 07:00:00,1,267.03,0,0.19,75.1,0.23,0.5,0.5,0.05
2022-01-02 08:00:00,1,263.69,0,0.11,73.67,0.09,0.5,0.5,0.02
2022-01-02 09:00:00,1,260.35,0,0.1,62.94,0.02,0.5,0.5,0.02
2022-01-02 10:00:00,1,263.69,0,0.14,56.51,0.01,0.5,0.5,0.02
2022-01-02 11:00:00,1,267.03,0,0.18,53.64,0.01,0.5,0.5,0.02
2022-01-02 12:00:00,1,267.03,0,0.2,52.93,0.01,0.5,0.5,0.02
2022-01-02 13:00:00,1,270.37,0,0.2,52.93,0.01,0.5,0.5,0.02
2022-01-02 14:00:00,1,270.37,0,0.21,52.93,0.01,0.5,0.5,0.02
2022-01-02 15:00:00,1,270.37,0,0.2,52.93,0.02,0.5,0.5,0.03
2022-01-02 16:00:00,1,270.37,0,0.18,52.93,0.02,0.5,0.5,0.02
2022-01-02 17:00:00,1,270.37,0,0.16,52.93,0.02,0.5,0.5,0.02
2022-01-02 18:00:00,1,270.37,0,0.14,52.93,0.02,0.5,0.5,0.02
2022-01-02 19:00:00,1,267.03,0,0.15,53.64,0.02,0.5,0.5,0.02
